Neighborhood,Black_2000,White_2000,Asian_2000,Indigenous_200,Multiracial_2000,Hispanic_2000,Other_2000
Algiers Point,25.1%,67.4%,0.8%,0.5%,1.0%,4.7%,0.5%
Audubon,5.1%,86.1%,2.4%,0.2%,1.5%,4.4%,0.3%
B.W. Cooper,98.4%,0.2%,0.0%,0.0%,0.4%,0.9%,0.1%
Bayou St. John,67.8%,26.7%,0.9%,0.4%,0.8%,3.2%,0.2%
Behrman,77.4%,12.8%,1.6%,0.2%,1.2%,6.6%,0.2%
Black Pearl,36.7%,55.1%,2.7%,0.1%,1.1%,4.2%,0.2%
Broadmoor,68.2%,25.8%,0.6%,0.2%,1.3%,3.7%,0.2%
Bywater Neighborhood,61.1%,32.4%,0.6%,0.3%,0.7%,4.8%,0.2%
Central Business District,32.9%,55.2%,5.9%,0.3%,1.7%,3.2%,0.7%
Central City Neighborhood,87.0%,9.9%,0.6%,0.1%,0.7%,1.6%,0.0%
City Park,9.4%,81.9%,1.4%,0.1%,1.6%,5.3%,0.3%
Desire Development,94.7%,3.0%,0.3%,0.1%,0.6%,1.2%,0.1%
Dillard,88.4%,6.9%,0.3%,0.1%,1.5%,2.1%,0.7%
Dixon,94.9%,3.2%,0.1%,0.0%,0.3%,1.5%,0.0%
East Riverside,63.8%,30.9%,0.3%,0.4%,0.9%,3.6%,0.0%
Fairgrounds,69.1%,26.0%,0.2%,0.2%,0.9%,3.3%,0.4%
Fillmore,56.9%,36.4%,1.6%,0.0%,1.1%,3.8%,0.2%
Fischer Project,99.1%,0.5%,0.0%,0.0%,0.2%,0.1%,0.0%
Florida Area,98.2%,0.3%,0.0%,0.1%,0.5%,0.8%,0.0%
French Quarter,4.3%,89.8%,1.2%,0.5%,1.3%,2.6%,0.4%
Freret,82.7%,13.5%,0.4%,0.4%,1.1%,1.8%,0.2%
Garden District,2.7%,89.2%,0.9%,0.3%,1.6%,5.1%,0.2%
Gentilly Terrace,69.7%,24.9%,0.5%,0.1%,1.1%,3.0%,0.7%
Gentilly Woods,68.5%,24.8%,2.7%,0.3%,1.0%,2.4%,0.4%
Gert Town,94.5%,2.9%,0.5%,0.0%,0.6%,1.3%,0.2%
Hollygrove,94.7%,2.6%,0.1%,0.0%,1.0%,1.5%,0.1%
Holy Cross,87.3%,9.4%,0.2%,0.5%,0.9%,1.4%,0.1%
Irish Channel,68.3%,26.0%,0.2%,0.2%,1.2%,3.9%,0.1%
Lake Catherine,2.0%,94.3%,2.2%,0.0%,0.4%,1.0%,0.1%
Lake Terrace & Oaks,18.9%,72.4%,3.8%,0.0%,1.0%,3.7%,0.1%
Lakeshore/Lake Vista,0.6%,93.7%,2.1%,0.1%,0.7%,2.7%,0.0%
Lakeview Neighborhood,0.7%,93.9%,0.7%,0.1%,0.7%,3.7%,0.1%
Lakewood,1.7%,94.0%,1.2%,0.1%,0.7%,2.3%,0.0%
Leonidas,75.4%,20.6%,0.5%,0.1%,0.9%,2.2%,0.2%
Little Woods,86.2%,9.8%,0.9%,0.1%,1.2%,1.6%,0.3%
Lower Garden District Neighborh,34.2%,55.4%,1.5%,0.2%,1.8%,6.6%,0.2%
Lower Ninth Ward Neighborhood,98.3%,0.5%,0.0%,0.0%,0.6%,0.5%,0.1%
Marigny,17.7%,72.6%,1.0%,0.5%,1.9%,6.0%,0.2%
Marlyville/Fountainebleau,27.9%,62.6%,3.5%,0.2%,1.2%,4.2%,0.4%
McDonogh,87.7%,9.3%,0.6%,0.2%,0.9%,1.3%,0.1%
Mid-City Neighborhood,64.3%,23.2%,1.2%,0.3%,0.9%,10.0%,0.1%
Milan,73.8%,21.6%,1.0%,0.1%,0.9%,2.5%,0.1%
Milneburg,75.4%,17.7%,0.7%,0.1%,1.4%,4.2%,0.5%
Navarre,3.2%,89.0%,0.6%,0.1%,1.6%,5.3%,0.1%
New Aurora/English Turn,68.1%,16.9%,13.0%,0.1%,0.5%,1.3%,0.1%
Old Aurora,30.9%,60.0%,2.7%,0.4%,1.1%,4.8%,0.1%
Pines Village,87.5%,9.7%,0.3%,0.4%,0.9%,1.0%,0.2%
Plum Orchard,93.0%,4.4%,0.1%,0.0%,0.9%,1.3%,0.2%
Pontchartrain Park,96.7%,0.6%,0.1%,0.3%,0.7%,0.8%,0.8%
Read Blvd East,73.3%,16.6%,6.8%,0.3%,1.3%,1.4%,0.3%
Read Blvd West,79.9%,16.2%,0.8%,0.2%,0.5%,2.4%,0.1%
Seventh Ward,93.6%,3.0%,0.1%,0.1%,0.9%,1.9%,0.4%
St. Anthony,58.0%,29.8%,4.0%,0.3%,1.6%,5.6%,0.7%
St. Bernard Area,97.7%,1.1%,0.0%,0.0%,0.3%,0.8%,0.0%
St. Claude,90.6%,6.9%,0.2%,0.1%,0.5%,1.7%,0.1%
St. Roch,91.5%,3.9%,0.2%,0.2%,0.9%,3.2%,0.1%
St. Thomas Development,93.1%,4.2%,0.1%,0.2%,0.4%,2.0%,0.0%
Tall Timbers/Brechtel,54.6%,35.8%,3.7%,0.2%,1.2%,4.3%,0.2%
Touro,18.4%,74.0%,1.6%,0.1%,0.8%,4.7%,0.3%
Treme'/Lafitte,92.4%,4.9%,0.1%,0.3%,0.5%,1.5%,0.3%
Tulane/Gravier,78.2%,13.5%,5.0%,0.2%,0.4%,2.6%,0.1%
U.S. Naval Base Neighborhood,63.1%,30.2%,0.7%,0.1%,1.4%,4.2%,0.2%
Uptown Neighborhood,36.0%,57.8%,1.1%,0.2%,1.3%,3.5%,0.2%
Viavant/Venetian Isles,76.6%,14.3%,3.3%,0.1%,1.0%,4.4%,0.4%
Village de l'Est,55.4%,3.6%,37.1%,0.1%,1.2%,2.4%,0.2%
West End,1.7%,90.5%,1.6%,0.1%,0.8%,5.1%,0.1%
West Lake Forest,95.4%,2.0%,0.4%,0.2%,0.7%,1.3%,0.1%
West Riverside,36.1%,56.9%,0.7%,0.4%,1.4%,4.2%,0.3%
Whitney,84.9%,11.1%,0.5%,0.2%,0.9%,2.3%,0.0%
